CASEID,v161194x,v161195x,v161196x,v161363a,v161363b,v161363c,v161363d,v161365,v161370,v161380,v161381,v161384,v161386,v161390,v161391,v161393,v161404,v161409,v161445,v161451,v161453,v161454,v161457,v161469,v161470,v161471,v161472,v161482,v161483,v161484,v161485
300246, 7, 6, 6, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1,-1
300248, 3, 5, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300250, 4, 5, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300252, 2, 6, 2, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-9,-9,-9,-9
300254, 7, 5, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300255, 4, 5, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0
300256, 7, 5, 4, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1,-1
300259, 1, 2, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1,-1
300261, 4, 5, 4, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300264, 4, 5, 6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0,-1,-1,-1,-1,-1, 0, 0, 0, 0,-9,-9,-9,-9
300267, 1, 2, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1,-1
300269, 4, 5, 7, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1
300270, 4, 5, 7, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,-1,-1,-1,-1, 0, 0, 0, 0, 0, 0, 0, 0
300273, 7, 5, 2, 1, 0, 0, 1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9, 0, 0, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1,-1
300276, 4, 5, 4, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-9,-9,-9,-9,-9,-1,-1,-1,-1,-1,-1,-1,-1
300278, 1, 5, 1, 1, 1, 1, 1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
300279, 1, 1, 1, 0, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300280, 6, 5, 4, 0, 0, 0, 1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1,-1
300282, 4, 4, 7, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0,-1,-1,-1,-1,-1,-9,-9,-9,-9,-9,-9,-9,-9
300284, 7, 5, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1,-1,-1,-1,-1,-1, 0, 0, 0, 0,-9,-9,-9,-9
300289, 7, 6, 7, 0, 0, 1, 1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9, 0, 1, 0, 0, 1,-1,-1,-1,-1,-1,-1,-1,-1
300297, 4, 6, 4, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0,-1,-1,-1,-1,-1, 0, 0, 0, 0, 0, 0, 0, 0
300299, 5, 6, 7, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1,-1
300303, 4, 5, 6, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
